role_code,role_name,area,scope_base,module_key,module_name,view,create,edit,delete,approve,export,manage_users,configure_module,reports
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,ponto,Ponto,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,folha,Folha,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,patrimonio,Patrimonio,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,almoxarifado,Almoxarifado,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,frota,Frota,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,ouvidoria,Ouvidoria,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,tributos,Tributos,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,billing,Billing / Contrato SaaS,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
LEITURA,Somente leitura,Administracao e Governanca,LEITURA,portal,Portal da Prefeitura,NAO,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
AUDITORIA,Controladoria / Auditoria,Administracao e Governanca,MUNICIPAL,org,Administracao / ORG,SIM,NAO,NAO,NAO,NAO,SIM,NAO,NAO,SIM
